delivery_delay,payment_value,price,customer_state_SP,product_category_bed_bath_table,review_score
-8.0,18.12,29.99,True,False,4.0
-8.0,2.0,29.99,True,False,4.0
-8.0,18.59,29.99,True,False,4.0
-6.0,141.46,118.7,False,False,4.0
-18.0,179.12,159.9,False,False,5.0
-13.0,72.2,45.0,False,False,5.0
-10.0,28.62,19.9,True,False,5.0
-6.0,175.26,147.9,False,False,4.0
-12.0,75.16,59.99,False,False,5.0
-32.0,35.95,19.9,False,False,1.0
-7.0,161.42,149.99,True,False,5.0
-7.0,8.34,149.99,True,False,5.0
-9.0,259.06,99.0,False,False,1.0
-9.0,259.06,99.0,False,False,1.0
-20.0,114.13,98.0,True,False,4.0
-29.0,50.13,31.9,False,False,5.0
-9.0,32.7,19.9,True,True,5.0
-9.0,54.36,38.25,True,False,4.0
-13.0,146.45,132.4,False,False,5.0
-21.0,43.09,27.99,False,False,5.0
-14.0,29.75,17.9,True,True,5.0
-15.0,62.15,76.0,False,False,4.0
-15.0,24.86,76.0,False,False,4.0
-15.0,5.96,76.0,False,False,4.0
11.0,118.86,109.9,True,False,2.0
-10.0,88.9,79.99,True,False,5.0
-13.0,17.28,9.5,True,False,3.0
-26.0,187.57,129.99,False,False,4.0
-4.0,104.11,89.9,True,False,5.0
9.0,125.43,109.9,False,False,2.0
-32.0,227.68,90.9,False,False,1.0
-32.0,227.68,39.5,False,False,1.0
-7.0,60.69,47.9,True,False,5.0
-7.0,192.68,178.99,True,False,4.0
-17.0,63.34,30.1,False,False,4.0
-5.0,313.19,279.0,True,False,2.0
-10.0,224.9,186.9,False,False,1.0
-5.0,63.1,49.0,True,False,4.0
-13.0,100.25,84.9,False,False,5.0
-6.0,188.41,179.0,True,False,5.0
0.0,106.95,78.0,False,False,5.0
-16.0,66.79,39.9,False,False,4.0
-14.0,43.0,27.9,True,False,5.0
-29.0,508.17,445.0,False,False,5.0
-7.0,49.69,36.9,True,True,3.0
-12.0,154.19,119.99,False,False,5.0
7.0,356.12,339.0,True,False,1.0
-20.0,95.67,69.9,False,False,5.0
-31.0,121.62,99.0,False,False,4.0
0.0,22.36,14.49,True,False,1.0
-11.0,153.72,139.0,False,False,1.0
-18.0,54.82,36.9,False,False,4.0
-4.0,82.33,69.9,True,False,5.0
-11.0,52.24,33.9,False,False,5.0
-15.0,130.56,115.0,True,False,5.0
-9.0,52.84,39.47,True,False,5.0
-17.0,71.91,53.44,False,False,5.0
-16.0,151.04,60.0,False,False,1.0
-16.0,151.04,60.0,False,False,1.0
-13.0,386.33,369.0,False,False,4.0
-16.0,50.25,38.4,True,False,5.0
-27.0,128.68,119.9,False,False,5.0
-21.0,43.46,29.99,True,False,5.0
1.0,91.68,22.99,False,False,1.0
1.0,91.68,22.99,False,False,1.0
7.0,99.26,84.9,True,False,1.0
-17.0,141.15,113.0,True,False,5.0
-13.0,91.66,79.9,True,True,4.0
-5.0,53.66,39.9,False,False,5.0
-13.0,317.34,299.0,False,False,5.0
-4.0,43.0,27.9,False,False,4.0
-21.0,346.09,119.0,False,False,4.0
-21.0,346.09,199.0,False,False,4.0
-28.0,824.76,329.9,False,False,3.0
-28.0,824.76,329.9,False,False,3.0
-20.0,39.99,24.89,False,False,4.0
-21.0,392.6,84.9,True,False,5.0
-21.0,392.6,84.9,True,False,5.0
-21.0,392.6,84.9,True,False,5.0
-21.0,392.6,84.9,True,False,5.0
-8.0,55.02,42.99,True,False,5.0
-9.0,46.2,27.9,False,False,3.0
-9.0,59.34,50.0,True,False,5.0
-19.0,209.41,190.0,True,False,5.0
-11.0,57.0,42.9,True,False,4.0
-12.0,84.56,69.9,False,False,5.0
-2.0,267.8,38.0,False,False,1.0
-2.0,267.8,38.0,False,False,1.0
-2.0,267.8,38.0,False,False,1.0
-2.0,267.8,38.0,False,False,1.0
-2.0,267.8,38.0,False,False,1.0
-16.0,145.66,56.99,False,False,5.0
-16.0,145.66,56.99,False,False,5.0
-2.0,37.83,24.99,True,False,5.0
-15.0,227.2,219.0,False,False,1.0
-15.0,7.08,219.0,False,False,1.0
-1.0,201.82,93.0,True,False,4.0
-1.0,201.82,93.0,True,False,4.0
-15.0,27.77,19.99,True,False,3.0
-10.0,59.1,45.0,False,False,5.0
-16.0,66.98,58.2,False,False,5.0
-14.0,132.26,110.99,False,True,3.0
-14.0,63.34,38.5,False,True,4.0
-13.0,231.12,179.99,False,False,2.0
-15.0,574.36,544.0,True,False,5.0
-13.0,29.92,14.82,False,True,5.0
-13.0,409.79,394.9,True,False,4.0
-15.0,62.69,49.9,True,False,5.0
-4.0,105.56,89.18,False,False,5.0
-12.0,37.38,29.99,True,False,4.0
-3.0,76.65,58.99,False,False,5.0
-24.0,120.84,98.44,False,False,1.0
-13.0,238.69,219.9,False,False,4.0
-7.0,772.08,759.0,True,False,5.0
-10.0,103.27,65.9,False,False,5.0
-21.0,23.69,10.9,True,False,5.0
17.0,101.74,83.9,False,False,1.0
-16.0,22.03,17.9,True,True,5.0
-16.0,6.83,17.9,True,True,5.0
-35.0,117.77,99.2,False,False,5.0
-2.0,172.14,160.0,True,False,5.0
-14.0,42.59,29.9,True,False,5.0
1.0,21.38,13.99,True,False,5.0
0.0,50.35,35.0,False,False,3.0
-17.0,554.4,535.9,False,False,4.0
-19.0,96.01,69.9,True,False,4.0
-28.0,609.9,589.9,False,False,4.0
-13.0,253.4,235.99,False,False,2.0
-16.0,28.62,19.9,True,False,1.0
32.0,40.09,25.99,False,False,1.0
-17.0,26.44,18.5,False,False,5.0
-8.0,132.88,49.9,False,False,5.0
-8.0,132.88,49.9,False,False,5.0
-28.0,111.89,84.99,False,False,5.0
-7.0,231.79,199.0,False,False,4.0
32.0,135.51,109.9,False,True,3.0
-17.0,38.1,29.99,False,False,5.0
-11.0,74.03,59.9,True,False,5.0
-14.0,58.0,42.9,False,False,1.0
-16.0,66.02,43.0,False,False,5.0
-1.0,53.2,12.5,False,False,4.0
-1.0,53.2,12.5,False,False,4.0
-27.0,518.39,179.9,True,True,3.0
-27.0,518.39,119.99,True,False,3.0
-27.0,518.39,149.99,True,False,3.0
-10.0,78.15,59.9,True,False,4.0
-9.0,84.57,69.99,True,True,5.0
-15.0,155.0,129.6,False,False,1.0
-14.0,142.16,31.8,False,False,4.0
-14.0,142.16,31.8,False,False,4.0
-17.0,141.9,129.9,True,True,1.0
-14.0,113.62,99.9,True,True,4.0
0.0,138.28,125.9,True,False,5.0
-16.0,161.77,146.0,False,False,5.0
-7.0,95.52,39.49,True,False,5.0
-7.0,95.52,39.49,True,False,5.0
-11.0,68.59,54.99,False,True,5.0
-24.0,106.38,89.99,False,False,1.0
